GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,145,1,5,0,37,1,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,12,123,1,5,0,28,3,10,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,144,0,4,0,37,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,143,0,4,0,38,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,142,0,6,0,36,0,11,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,143,1,5,0,37,1,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,81,0,0,0,18,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,78,0,0,0,17,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,CustomUserDetailsService,0,52,0,2,0,8,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,96,0,0,0,21,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,16,67,0,0,3,15,1,5,1,5
spring-boot-skeleton,com.nnk.springboot.services,UserService,12,102,1,1,2,21,1,7,0,7
spring-boot-skeleton,com.nnk.springboot.services,BidListService,20,63,0,0,3,14,2,5,2,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
